key	keyword
ca_total_current_assets	total current assets
nca_total_non_current_assets	total non current assets
nca_total_non_current_assets	total noncurrent assets
nca_total_non_current_assets	total non-current assets
cl_total_current_liabilities	total current liabilities
ncl_total_non_current_liabilities	total non current liabilities
ncl_total_non_current_liabilities	total noncurrent liabilities
ncl_total_non_current_liabilities	total non-current liabilities




